m is 197
  i   S
-------
  0   0
  1   2
  2   3
  3   5
  4   7
  5  11
  6  13
  7  17
  8  19
  9  23
 10  29
 11  31
 12  37
 13  41
 14  43
 15  47
   i   card  C
-----------------
  74    4   10
  74    5    9
  74    6    9
  74    7    8
  74    8   16
  74    9   16
  74   10   16
  74   11   16
  74   12   16
  74   13   16
  74   14   16
  74   15   16
  75    1   16
  75    2   16
  75    3   12
  75    4   11
  75    5    9
  75    6    9
  75    7    8
  75    8   16
  75    9   16
  75   10   16
  75   11   16
  75   12   16
  75   13   16
  75   14   16
  75   15   16
  76    1   16
  76    2   15
  76    3   14
  76    4   10
  76    5   10
  76    6    9
  76    7    9
  76    8   16
  76    9   16
  76   10   16
  76   11   16
  76   12   16
  76   13   16
  76   14   16
  76   15   16
  77    1   16
  77    2   16
  77    3   11
  77    4   12
  77    5    9
  77    6    9
  77    7   16
  77    8    8
  77    9   16
  77   10   16
  77   11   16
  77   12   16
  77   13   16
  77   14   16
  77   15   16
  78    1   16
  78    2   13
  78    3   15
  78    4   10
  78    5   10
  78    6    9
  78    7    9
  78    8   16
  78    9   16
  78   10   16
  78   11   16
  78   12   16
  78   13   16
  78   14   16
  78   15   16
  79    1   16
  79    2   16
  79    3   11
  79    4   11
  79    5    9
  79    6    9
  79    7    9
  79    8   16
  79    9   16
  79   10   16
  79   11   16
  79   12   16
  79   13   16
  79   14   16
  79   15   16
  80    1   16
  80    2   14
  80    3   13
  80    4   10
  80    5   10
  80    6    9
  80    7    9
  80    8   16
  80    9   16
  80   10   16
  80   11   16
  80   12   16
  80   13   16
  80   14   16
  80   15   16
  81    1   16
  81    2   16
  81    3   12
  81    4   11
  81    5   10
  81    6    9
  81    7    9
  81    8    9
  81    9   16
  81   10   16
  81   11   16
  81   12   16
  81   13   16
  81   14   16
  81   15   16
  82    1   16
  82    2   16
  82    3   14
  82    4   10
  82    5   10
  82    6    9
  82    7    9
  82    8   16
  82    9   16
  82   10   16
  82   11   16
  82   12   16
  82   13   16
  82   14   16
  82   15   16
  83    1   16
  83    2   16
  83    3   11
  83    4   12
  83    5    9
  83    6   10
  83    7   16
  83    8    9
  83    9   16
  83   10   16
  83   11   16
  83   12   16
  83   13   16
  83   14   16
  83   15   16
  84    1   16
  84    2   14
  84    3   16
  84    4   10
  84    5   10
  84    6    9
  84    7    9
  84    8   16
  84    9   16
  84   10   16
  84   11   16
  84   12   16
  84   13   16
  84   14   16
  84   15   16
  85    1   16
  85    2   16
  85    3   12
  85    4   11
  85    5   10
  85    6    9
  85    7    9
  85    8   16
  85    9   16
  85   10   16
  85   11   16
  85   12   16
  85   13   16
  85   14   16
  85   15   16
  86    1   16
  86    2   16
  86    3   14
  86    4   11
  86    5   10
  86    6    9
  86    7    9
  86    8   16
  86    9   16
  86   10   16
  86   11   16
  86   12   16
  86   13   16
  86   14   16
  86   15   16
  87    1   16
  87    2   16
  87    3   12
  87    4   12
  87    5   10
  87    6   10
  87    7    9
  87    8    9
  87    9   16
  87   10   16
  87   11   16
  87   12   16
  87   13   16
  87   14   16
  87   15   16
  88    1   16
  88    2   15
  88    3   16
  88    4   10
  88    5   11
  88    6    9
  88    7    9
  88    8   16
  88    9   16
  88   10   16
  88   11   16
  88   12   16
  88   13   16
  88   14   16
  88   15   16
  89    1   16
  89    2   16
  89    3   12
  89    4   12
  89    5   10
  89    6   10
  89    7   11
  89    8    9
  89    9   16
  89   10   16
  89   11   16
  89   12   16
  89   13   16
  89   14   16
  89   15   16
  90    1   16
  90    2   15
  90    3   15
  90    4   11
  90    5   10
  90    6    9
  90    7    9
  90    8   16
  90    9   16
  90   10   16
  90   11   16
  90   12   16
  90   13   16
  90   14   16
  90   15   16
  91    1   16
  91    2   16
  91    3   12
  91    4   12
  91    5   10
  91    6   10
  91    7    9
  91    8   11
  91    9   16
  91   10   16
  91   11   16
  91   12   16
  91   13   16
  91   14   16
  91   15   16
  92    1   16
  92    2   16
  92    3   15
  92    4   11
  92    5   11
  92    6   10
  92    7    9
  92    8   16
  92    9   16
  92   10   16
  92   11   16
  92   12   16
  92   13   16
  92   14   16
  92   15   16
  93    1   16
  93    2   16
  93    3   13
  93    4   12
  93    5   10
  93    6   10
